,price(L)
1966,10.85
570,55.5
3388,69.58
343,39.99
3408,120.0
1602,62.0
678,195.0
1392,145.0
2791,24.0
2998,51.0
2290,75.2
1006,78.97
1657,83.32
1501,147.0
3019,76.78
2359,60.0
1366,312.0
576,70.2
2994,53.48
893,339.0
1480,96.1
3169,14.85
528,138.0
176,18.2
2113,58.0
422,31.5
680,87.0
2965,9.99
2320,69.1
3083,49.0
2987,51.36
2447,30.0
857,117.0
2916,80.0
288,54.0
999,83.98
2420,39.99
3323,22.49
1370,39.99
2898,69.0
177,26.0
1011,80.01
3447,7.0
1457,220.00000000000003
2382,30.55
370,99.81
1538,126.0
729,135.0
598,100.0
2591,18.0
1991,18.58
2461,20.12
1159,88.48
3530,13.46
1735,59.0
2664,17.38
141,41.9
1957,14.53
665,238.0
862,170.0
3225,21.09
654,63.0
471,108.0
2580,31.07
3458,36.73
759,138.0
3383,57.58
2942,18.37
3026,54.05
2218,74.4
2972,48.06
1222,124.0
195,320.0
532,191.0
1398,54.47
2236,54.0
1261,12.0
871,52.0
1034,83.43
227,12.31
3168,13.5
555,49.45
3074,160.0
2763,8.58
2830,82.0
3203,8.0
839,1315.0
879,36.0
631,166.0
3641,49.0
1255,325.0
162,49.0
219,21.16
1533,135.0
1068,290.0
1338,30.0
2620,145.0
2073,15.63
547,46.28
1780,13.45
3016,54.05
2272,86.53
568,70.0
1556,75.0
3469,27.0
1468,140.0
1067,91.24
2618,18.04
3231,23.0
1703,124.0
611,160.0
1674,26.96
1961,12.78
3354,91.36
1742,18.03
742,140.0
637,96.75
2554,20.57
2815,85.0
581,150.0
3521,22.68
3321,22.04
1412,160.0
73,180.0
48,68.61
1018,197.0
1940,24.7
2628,15.43
1667,17.11
3261,59.94
2321,64.06
756,83.95
1110,291.0
1987,18.39
3150,13.99
1511,126.0
1233,70.21
1681,165.0
3637,21.7
1498,35.14
2804,110.0
1427,22.0
1105,113.0
572,54.0
2357,19.19
2924,17.49
3457,43.99
1210,800.0
997,102.0
2232,65.57
2644,46.0
3023,160.0
1071,192.0
3197,40.78
2552,20.4
2167,139.0
1113,77.75
2242,76.22
1725,49.0
3374,33.0
259,165.0
1964,13.79
1883,36.0
3313,31.16
812,262.0
2631,16.5
2153,160.0
2765,8.37
2096,104.0
2834,84.0
3646,45.0
2372,9.99
3320,25.8
2399,15.0
1420,12.49
3443,2.99
1988,14.53
3333,20.87
1074,90.83
2588,27.99
2876,25.76
2685,15.91
2176,135.0
1950,12.87
1732,68.0
867,45.0
3033,54.05
3114,57.48
2776,12.37
3006,160.0
108,200.0
1146,244.0
1292,155.0
1330,56.7
3331,43.99
318,119.0
816,616.0
2732,32.0
59,77.68
3181,50.22
1461,109.0
1419,230.0
3532,18.39
1336,36.0
3565,27.0
1565,104.0
765,85.33
2555,19.97
1022,155.0
1001,79.1
1334,24.0
1315,85.0
1924,89.68
3140,14.69
727,153.0
1584,15.0
1720,67.0
220,99.94
1922,17.09
582,92.5
1091,33.99
